x,vx,y,vy,z,vz
1216.0426,-5.0276,-112.5365,-42.2211,2004.4641,123.8265
1215.8750,-5.0315,-113.9445,-42.2639,2008.5882,123.6208
1215.7072,-5.0349,-115.3541,-42.3075,2012.7055,123.4167
1215.5393,-5.0380,-116.7651,-42.3517,2016.8160,123.2140
1215.3713,-5.0408,-118.1775,-42.3966,2020.9198,123.0128
1215.2033,-5.0434,-119.5915,-42.4420,2025.0169,122.8130
1215.0351,-5.0459,-121.0070,-42.4879,2029.1073,122.6145
1214.8669,-5.0484,-122.4240,-42.5341,2033.1912,122.4174
1214.6985,-5.0509,-123.8426,-42.5806,2037.2685,122.2216
1214.5301,-5.0535,-125.2627,-42.6274,2041.3393,122.0270
1214.3616,-5.0649,-126.6844,-42.6724,2045.4036,121.8329
1214.1922,-5.0990,-128.1075,-42.7115,2049.4614,121.6351
1214.0216,-5.1370,-129.5318,-42.7480,2053.5126,121.4311
1213.8499,-5.1611,-130.9574,-42.7860,2057.5568,121.2246
1213.6778,-5.1564,-132.3843,-42.8302,2061.5942,121.0216
1213.5067,-5.0993,-133.8129,-42.8885,2065.6251,120.8344
1213.3383,-4.9897,-135.2436,-42.9584,2069.6499,120.6572
1213.1754,-4.7670,-136.6771,-43.0570,2073.6694,120.5165
1213.0212,-4.4781,-138.1142,-43.1684,2077.6845,120.3908
1212.8775,-4.1328,-139.5550,-43.2887,2081.6956,120.2757
1212.7461,-3.7414,-141.0002,-43.4159,2085.7029,120.1671
1212.6285,-3.3140,-142.4499,-43.5475,2089.7066,120.0623
1212.5255,-2.8606,-143.9039,-43.6789,2093.7069,119.9600
1212.4380,-2.3904,-145.3620,-43.8065,2097.7039,119.8597
1212.3663,-1.9114,-146.8243,-43.9312,2101.6976,119.7602
1212.3106,-1.4312,-148.2908,-44.0527,2105.6879,119.6612
1212.2708,-0.9563,-149.7612,-44.1706,2109.6749,119.5627
1212.2466,-0.4917,-151.2355,-44.2835,2113.6587,119.4655
1212.2378,-0.0413,-152.7134,-44.3907,2117.6393,119.3702
1212.2437,0.3905,-154.1948,-44.4936,2121.6168,119.2769
1212.2636,0.8005,-155.6796,-44.5927,2125.5911,119.1859
1212.2968,1.1864,-157.1676,-44.6882,2129.5625,119.0976
1212.3424,1.5465,-158.6588,-44.7807,2133.5310,119.0122
1212.3996,1.8798,-160.1530,-44.8708,2137.4967,118.9296
1212.4675,2.1857,-161.6501,-44.9590,2141.4597,118.8497
1212.5451,2.4638,-163.1502,-45.0459,2145.4201,118.7725
1212.6315,2.7142,-164.6532,-45.1317,2149.3779,118.6980
1212.7257,2.9375,-166.1590,-45.2168,2153.3333,118.6259
1212.8269,3.1344,-167.6677,-45.3015,2157.2863,118.5558
1212.9343,3.3059,-169.1793,-45.3863,2161.2369,118.4873
1213.0470,3.4531,-170.6936,-45.4714,2165.1854,118.4200
1213.1643,3.5774,-172.2107,-45.5570,2169.1316,118.3536
1213.2853,3.6802,-173.7307,-45.6430,2173.0756,118.2878
1213.4094,3.7602,-175.2536,-45.7295,2177.0175,118.2212
1213.5354,3.7978,-176.7795,-45.8226,2180.9572,118.1621
1213.6622,3.8075,-178.3084,-45.9124,2184.8948,118.0885
1213.7892,3.8111,-179.8402,-45.9988,2188.8297,118.0077
1213.9164,3.8224,-181.3750,-46.0804,2192.7618,117.9174
1214.0443,3.8567,-182.9124,-46.1563,2196.6907,117.8181
1214.1740,3.9330,-184.4522,-46.2235,2200.6163,117.7165
1214.3072,4.0701,-185.9939,-46.2794,2204.5385,117.6207
1214.4458,4.2649,-187.5373,-46.3246,2208.4576,117.5263
1214.5920,4.5165,-189.0821,-46.3578,2212.3735,117.4310
1214.7479,4.8405,-190.6277,-46.3772,2216.2864,117.3398
1214.9160,5.2605,-192.1737,-46.3805,2220.1965,117.2616
1215.0996,5.7685,-193.7195,-46.3664,2224.1040,117.1917
1215.3015,6.3509,-195.2647,-46.3346,2228.0092,117.1240
1215.5238,6.9929,-196.8085,-46.2847,2231.9121,117.0536
1215.7682,7.6780,-198.3501,-46.2166,2235.8127,116.9776
1216.0360,8.3917,-199.8893,-46.1333,2239.7106,116.8941
1216.3278,9.1219,-201.4258,-46.0398,2243.6055,116.8013
1216.6442,9.8576,-202.9593,-45.9392,2247.4970,116.6992
1216.9850,10.5891,-204.4892,-45.8304,2251.3850,116.5904
1217.3501,11.3083,-206.0149,-45.7107,2255.2695,116.4783
