x,vx,y,vy,z,vz
1583.1785,138.5960,719.8069,84.3898,1123.2455,43.5331
1587.7990,138.6332,722.6204,84.4169,1124.6913,43.2184
1592.4207,138.6681,725.4347,84.4425,1126.1267,42.9029
1597.0435,138.7005,728.2499,84.4667,1127.5515,42.5868
1601.6674,138.7307,731.0658,84.4894,1128.9658,42.2699
1606.2922,138.7588,733.8825,84.5108,1130.3695,41.9523
1610.9179,138.7847,736.6999,84.5310,1131.7626,41.6342
1615.5445,138.8090,739.5179,84.5500,1133.1451,41.3154
1620.1719,138.8318,742.3365,84.5683,1134.5170,40.9963
1624.7999,138.8536,745.1557,84.5858,1135.8782,40.6768
1629.4288,138.8746,747.9756,84.6029,1137.2288,40.3571
1634.0582,138.8951,750.7959,84.6198,1138.5687,40.0372
1638.6884,138.9155,753.6169,84.6365,1139.8979,39.7173
1643.3193,138.9360,756.4384,84.6534,1141.2165,39.3973
1647.9508,138.9569,759.2604,84.6705,1142.5244,39.0774
1652.5831,138.9785,762.0831,84.6880,1143.8217,38.7576
1657.2161,139.0009,764.9063,84.7060,1145.1082,38.4380
1661.8498,139.0244,767.7302,84.7248,1146.3842,38.1187
1666.4844,139.0493,770.5546,84.7444,1147.6495,37.7996
1671.1198,139.0756,773.3798,84.7649,1148.9042,37.4809
1675.7561,139.1036,776.2056,84.7865,1150.1482,37.1625
1680.3934,139.1334,779.0322,84.8092,1151.3817,36.8445
1685.0317,139.1651,781.8596,84.8332,1152.6045,36.5270
1689.6711,139.1989,784.6878,84.8584,1153.8168,36.2098
1694.3116,139.2348,787.5168,84.8850,1155.0185,35.8931
1698.9534,139.2729,790.3468,84.9129,1156.2097,35.5768
1703.5965,139.3133,793.1777,84.9423,1157.3903,35.2610
1708.2410,139.3559,796.0096,84.9731,1158.5604,34.9455
1712.8869,139.4008,798.8426,85.0053,1159.7200,34.6306
1717.5344,139.4479,801.6767,85.0389,1160.8691,34.3160
1722.1835,139.4973,804.5119,85.0740,1162.0078,34.0018
1726.8343,139.5489,807.3483,85.1105,1163.1359,33.6880
1731.4868,139.6026,810.1859,85.1483,1164.2536,33.3745
1736.1411,139.6583,813.0249,85.1874,1165.3609,33.0613
1740.7974,139.7160,815.8651,85.2277,1166.4577,32.7484
1745.4555,139.7756,818.7067,85.2693,1167.5441,32.4358
1750.1157,139.8369,821.5497,85.3119,1168.6201,32.1234
1754.7780,139.8998,824.3942,85.3556,1169.6857,31.8111
1759.4424,139.9642,827.2401,85.4002,1170.7408,31.4990
1764.1090,140.0300,830.0876,85.4457,1171.7856,31.1871
1768.7778,140.0969,832.9365,85.4920,1172.8200,30.8752
1773.4488,140.1648,835.7870,85.5389,1173.8440,30.5633
1778.1221,140.2336,838.6391,85.5863,1174.8575,30.2514
1782.7977,140.3030,841.4928,85.6343,1175.8607,29.9395
1787.4756,140.3730,844.3481,85.6826,1176.8535,29.6275
1792.1559,140.4434,847.2050,85.7311,1177.8359,29.3153
1796.8385,140.5139,850.0635,85.7798,1178.8079,29.0031
1801.5235,140.5844,852.9236,85.8285,1179.7694,28.6906
1806.2108,140.6547,855.7854,85.8771,1180.7206,28.3780
1810.9005,140.7247,858.6488,85.9256,1181.6613,28.0651
