x,vx,y,vy,z,vz
1421.7895,141.4180,-364.8938,-89.8780,460.4633,0.9410
1426.5019,141.3251,-367.8923,-90.0360,460.4944,0.9230
1431.2112,141.2334,-370.8961,-90.1921,460.5249,0.9049
1435.9175,141.1428,-373.9051,-90.3463,460.5547,0.8866
1440.6207,141.0534,-376.9192,-90.4986,460.5840,0.8681
1445.3210,140.9651,-379.9383,-90.6490,460.6126,0.8494
1450.0184,140.8778,-382.9624,-90.7974,460.6406,0.8306
1454.7129,140.7915,-385.9915,-90.9440,460.6680,0.8117
1459.4045,140.7062,-389.0254,-91.0886,460.6947,0.7926
1464.0933,140.6217,-392.0640,-91.2313,460.7208,0.7733
1468.7793,140.5380,-395.1074,-91.3722,460.7463,0.7540
1473.4625,140.4551,-398.1555,-91.5111,460.7711,0.7345
1478.1430,140.3730,-401.2081,-91.6482,460.7952,0.7149
1482.8207,140.2916,-404.2653,-91.7834,460.8187,0.6952
1487.4958,140.2108,-407.3270,-91.9167,460.8416,0.6755
1492.1681,140.1308,-410.3931,-92.0482,460.8638,0.6556
1496.8378,140.0513,-413.4635,-92.1778,460.8853,0.6357
1501.5049,139.9724,-416.5383,-92.3056,460.9061,0.6157
1506.1693,139.8941,-419.6172,-92.4316,460.9263,0.5957
1510.8312,139.8164,-422.7004,-92.5557,460.9458,0.5757
1515.4904,139.7391,-425.7876,-92.6781,460.9647,0.5556
1520.1471,139.6624,-428.8789,-92.7987,460.9829,0.5355
1524.8013,139.5863,-431.9741,-92.9175,461.0004,0.5154
1529.4529,139.5105,-435.0734,-93.0347,461.0172,0.4953
1534.1020,139.4353,-438.1764,-93.1501,461.0334,0.4752
1538.7486,139.3606,-441.2833,-93.2638,461.0489,0.4551
1543.3927,139.2864,-444.3940,-93.3758,461.0638,0.4350
1548.0343,139.2126,-447.5084,-93.4862,461.0779,0.4150
1552.6735,139.1394,-450.6264,-93.5950,461.0914,0.3951
1557.3103,139.0666,-453.7480,-93.7022,461.1043,0.3751
1561.9447,138.9943,-456.8732,-93.8078,461.1164,0.3553
1566.5766,138.9226,-460.0019,-93.9119,461.1280,0.3355
1571.2062,138.8514,-463.1340,-94.0145,461.1388,0.3158
1575.8334,138.7807,-466.2695,-94.1156,461.1490,0.2962
1580.4582,138.7105,-469.4083,-94.2152,461.1586,0.2767
